"User ID","Wallet Address","Transaction Hash","Amount (XLM)","Feedback"
"USER_29","GCY5Z2NSWMKHXESEWT2DBPLJISUXHJOLVXYZN2IGPFFNETCESUEDRKKX","f2ea7b1c529bb88de1347ef4dea5b","20","Voting rules are clearly detailed in dashboard."
"USER_30","GAM7KVI4VJEH2BRYHCPNDTVTCAO2T3LD4XOYSWJOM2ME4LSIXI2HJSWI","f2e947cb8caf41bde4da9fe7728be","86","Interface looks amazing and very clean."
"USER_31","GCG2FRKD7VJGIE2GVPTSSFZKOUW2PWACF2JJDYR3A7FR6ERQDXWGSI4A","f2e9aa2422542dcde5caf4e074f6b","77","Smooth transaction experience, highly recommended."
"USER_32","GBSOVE6DTMNAFFAZ4NP5IPFBQGBVZALZVLKNDX33OPSIOXKB2WWUJEC2","f2ef063e120ca9dde02a1f99cd75e","34","Love the escrow-based milestone funding logic."
"USER_33","GAPXM2B4CUA5FKWXUOKDAJMB35J3HWOAP4AH6YP4A4OPCLOSXIEZV7OY","f2e2185e9e25160de5a956752387e","81","Very clear onboarding, works perfectly on mobile."
"USER_34","GDSSS2CEPCIUI2AYXETZOBJNSNRRKON36SWTJGCNAHK7Z47JFY3BCM73","f2e547229ea440ade8b9c844857c2","94","Solid smart contract design, trustless and secure."
"USER_35","GB5K3GVFTS6QZ73LKFZM7ZFPQBYLT2OTONLVG2PG5RULPSR22FLMPC5C","f2e2d02c7ab2ca9dea7ec19f3cd34","51","Need clipboard option to copy contract addresses."
"USER_36","GALMIN34IN3FZFZN2V5IUZT5M6WSUBATB4GMI5IILEJRV4D4FAGO33BE","f2e3b41e5627edddecda075b6e699","29","Empty state visual cues could be improved."
"USER_37","GAKQCY7ISPZP3NJNCYBJFUI2LY26HKDQLNZ4N4RUVCW4TC5M7HM6HJOQ","f2eb7ada9ef23bdded47bffdc94d3","59","Responsive layout works perfectly on my phone."
"USER_38","GADF2KJV5NTKUHOSNRXSHZGVI6VPIYHJRZW56EUB3HGV3DWGODOKUGFL","f2e1c44b5454d03defb8bb11aad56","48","Very clean escrow interface, milestone logic is solid."
"USER_39","GCAFJKHW3XUEEA7G7ZDT7QQNXZDPUOS7FDF2FDIZDMIJPUTA4J3QKZ3G","f2e4f308e694310de35f68ff5b9d9","55","Quick contribution shortcuts are very useful."
"USER_40","GDBJZDHUCTFAJXJIKANA6NMLFAMXFBR7C3KJBIUJHP7HXR2NOKAJC33N","f2e40f3fb348059dec08376de6bde","90","Excellent smart contract test suite coverage."
"USER_41","GDRXABE32GUMHEQLY42GOEWMQKOC6GNX7QAWSF65GDLWEZK5AMSNYNJI","f2edf62ef2fb04bde6b85d879bd09","58","Beautiful rewards badge tier visualizations."
"USER_42","GCGEQ5JP5HJOARPEJQBS5346FH44MFWGE7BRK667JZASAKYLAVRBXURW","f2e448e4593d5c7def11616a6f275","88","Progress bars are very responsive and clean."
"USER_43","GBPF4MG5LDJGYV3NXYBHAMLJ3BESBT2ACCJESYP7DRPITYS4G5P3BEGP","f2e5c036a0f70bfdef5fd915636f2","15","Confirmation times on Stellar are extremely fast."
"USER_44","GB6BNWHXY2XOXLRAXFMXHCLPTFP6YXEMRLZONOIEG4ALIS2G3XNCQUPV","f2e7d4359da833ade7d9c4cca4009","47","Voting rules are clearly detailed in dashboard."
"USER_45","GBB7VX5HQJ4J3IUIRXVU6B5O5OQX4FB6WBCHVPVGVJMWCBIXUUCHTRWI","f2e8c34fed532b8deb68b73431c36","64","Interface looks amazing and very clean."
"USER_46","GDANPRDHLF2CU6K2IUS2XICDCQ5MAMDVV26BFFIRQG7ZWOVZEPL75AYI","f2ee24ff8192179de9e5f4c488953","42","Smooth transaction experience, highly recommended."
"USER_47","GCO7GICEBYT2JX64VIYWC6QXZ63QH5SRMBVIFNSV33LAIRFP4VVUHB4O","f2edcbe27537af1de0892647ee0e3","89","Love the escrow-based milestone funding logic."
"USER_48","GCFDSMVXDRZ3WCPKI5RDIHHHI3G4TTGBZNPCMJ3E42V6HH5SQYREJQJW","f2e3ddad3550e3cded8855ef5207c","65","Very clear onboarding, works perfectly on mobile."
"USER_49","GAYTC26Z36QU2E3HOCFVEJD6GCJ6FADYDHBJQLLKOC2UVI3EBKTDJ3J3","f2e382524979a72de77bce7c9e9e0","69","Solid smart contract design, trustless and secure."
"USER_50","GBIKAWB4J4TYM46IOUHVHUGEZZ7QFB55RSFBPVHQVCIACMIZ23KQME5K","f2eca035f01ba9ede6135bd2ca896","34","Need clipboard option to copy contract addresses."
